7	1.3702	1.3602	1.6026	1.1555	1.378530502319336 1.4455574750900269 1.6025980710983276 1.4247709512710571 1.1555182933807373 1.1565699577331543 1.326210379600525 1.3111369609832764 1.3418599367141724 1.5593888759613037
8	1.4745	1.5198	1.8921	1.2159	1.5298733711242676 1.519761562347412 1.8920621871948242 1.6729912757873535 1.6554088592529297 1.341423749923706 1.5357481241226196 1.2348047494888306 1.277366042137146 1.3421175479888916 1.4950814247131348 1.3356918096542358 1.5478519201278687 1.5209722518920898 1.2158581018447876
15	1.3967	1.3359	1.7798	1.0856	1.4506497383117676 1.3196544647216797 1.5938000679016113 1.5419901609420776 1.3678072690963745 1.6113014221191406 1.6710453033447266 1.5398364067077637 1.3524346351623535 1.3358969688415527 1.5052204132080078 1.7396440505981445 1.3089708089828491 1.7733596563339233 1.4578684568405151 1.538440227508545 1.513967514038086 1.316563606262207 1.3321232795715332 1.3220620155334473 1.2800534963607788 1.2144910097122192 1.3354442119598389 1.1082861423492432 1.313225269317627 1.6438980102539062 1.1102664470672607 1.2472198009490967 1.2909824848175049 1.2544126510620117 1.6287158727645874 1.0855737924575806 1.4164421558380127 1.4122114181518555 1.1495730876922607 1.7797861099243164 1.4934266805648804 1.3927701711654663 1.3302785158157349 1.3025970458984375 1.2997355461120605 1.282029151916504 1.371251106262207 1.222743034362793 1.2925331592559814
15	1.4866	1.4992	1.8921	1.1083	1.4953960180282593 1.3196544647216797 1.4557890892028809 1.498039722442627 1.477304220199585 1.5828495025634766 1.672081708908081 1.6710453033447266 1.1537212133407593 1.3524346351623535 1.4292110204696655 1.5003671646118164 1.4029285907745361 1.598867416381836 1.8920621871948242 1.6045246124267578 1.6779471635818481 1.5727953910827637 1.3967984914779663 1.5160874128341675 1.573901891708374 1.4323604106903076 1.3613768815994263 1.6060582399368286 1.398593783378601 1.6158568859100342 1.2144910097122192 1.2678107023239136 1.1082861423492432 1.3351984024047852 1.7361323833465576 1.5592498779296875 1.602698564529419 1.5889010429382324 1.492314338684082 1.4006779193878174 1.5184820890426636 1.4605990648269653 1.555306315422058 1.5329515933990479 1.5472280979156494 1.3277560472488403 1.6016583442687988 1.23542320728302 1.4126663208007812 1.5928750038146973 1.233444333076477 1.530806064605713 1.5680636167526245 1.469836711883545 1.486807942390442 1.5896730422973633 1.4968219995498657 1.6147323846817017 1.4486178159713745 1.4706785678863525 1.5061664581298828 1.5801646709442139 1.5453824996948242 1.5819144248962402 1.6197755336761475 1.222743034362793 1.4599609375 1.460761547088623 1.534406304359436 1.3464959859848022
5	1.4818	1.6600	1.7204	1.0652	1.7203786373138428 1.0651569366455078 1.6600110530853271
14	1.4103	1.3671	1.7949	1.0727	1.20047926902771 1.5599697828292847 1.3973612785339355 1.272011160850525 1.3568382263183594 1.2463124990463257 1.0727392435073853 1.761744499206543 1.3934940099716187 1.359129548072815 1.2266218662261963 1.65544593334198 1.2374221086502075 1.1289093494415283 1.5951868295669556 1.3592097759246826 1.3515814542770386 1.616021990776062 1.374972939491272 1.3302785158157349 1.5259573459625244 1.2800819873809814 1.4692702293395996 1.1211636066436768 1.2055480480194092 1.6718717813491821 1.5422377586364746 1.2627878189086914 1.116046667098999 1.6780545711517334 1.4386296272277832 1.5453824996948242 1.7948970794677734 1.211167573928833 1.7447905540466309 1.6689115762710571
16	1.3966	1.3833	1.7846	0.9941	1.6381690502166748 1.3358969688415527 1.654963731765747 1.7845641374588013 1.6127923727035522 1.6293302774429321 1.3089708089828491 1.412362813949585 1.513967514038086 1.3572778701782227 1.4910016059875488 1.3201651573181152 1.5450695753097534 1.4166256189346313 1.1415504217147827 1.3120441436767578 1.455505609512329 1.3365994691848755 1.4906810522079468 1.3183236122131348 1.6384892463684082 1.3832656145095825 1.4302113056182861 1.3220620155334473 1.3955037593841553 1.1082861423492432 1.2734158039093018 1.3995665311813354 0.9940966963768005 1.3791581392288208 1.5599697828292847 1.3551710844039917 1.0727392435073853 1.3457835912704468 1.4587321281433105 1.311769962310791 1.6130216121673584 1.5416464805603027 1.436492919921875 1.515271544456482 1.6373947858810425 1.6103132963180542 1.4997527599334717 1.21376633644104 1.452171802520752 1.0364654064178467 1.301154375076294 1.2678537368774414 1.4373583793640137 1.3417000770568848 1.3302785158157349 1.3220642805099487 1.193228840827942 1.247806429862976 1.3131425380706787
17	1.4062	1.4196	1.7634	0.7963	1.441389799118042 1.6588752269744873 0.9777858853340149 1.6025980710983276 1.1565699577331543 1.460761547088623 1.2633442878723145 1.6669553518295288 1.6127175092697144 1.56416916847229 1.3786249160766602 1.3111369609832764 1.4326659440994263 1.502509355545044 1.2440766096115112 1.5629457235336304 1.2386162281036377 1.4009778499603271 1.3732482194900513 1.4830373525619507 1.3276708126068115 1.3859500885009766 1.4794764518737793 1.336639642715454 1.517126441001892 1.5413538217544556 1.7066090106964111 1.5366588830947876 1.53757905960083 1.5838929414749146 1.200528860092163 1.4410433769226074 1.5928544998168945 1.4730019569396973 1.512923002243042 1.6091567277908325 1.4767974615097046 0.8023368120193481 1.2169321775436401 1.2676142454147339 1.3984193801879883 1.345491647720337 1.262362003326416 1.5247094631195068 1.1603556871414185 1.2466493844985962 1.378530502319336 1.436492919921875 1.6130216121673584 1.4662208557128906 1.4350249767303467 1.4154025316238403 1.5197762250900269 1.4455574750900269 1.3994959592819214 1.2055480480194092 1.3592097759246826 1.419579267501831 1.3166991472244263 1.3142529726028442 1.4132232666015625 1.1555182933807373 1.341423749923706 1.3302785158157349 1.3173662424087524 1.4825220108032227 1.2925331592559814 1.558950662612915 1.316349744796753 0.7963030338287354 1.7633744478225708 1.6754491329193115 1.3927701711654663 1.3951236009597778 1.3807497024536133 1.3218512535095215 1.1564140319824219 1.2756919860839844 1.6451213359832764 1.493656873703003 1.3627238273620605 1.2536319494247437 1.619497537612915 1.4309751987457275 1.481000304222107 1.5525332689285278 1.4226934909820557 1.1997101306915283 1.4517793655395508 1.6491265296936035 1.4957833290100098
18	1.5201	1.5402	1.8220	1.1901	1.5655945539474487 1.4190088510513306 1.635775089263916 1.5401934385299683 1.6569886207580566 1.5546543598175049 1.3745511770248413 1.6169648170471191 1.4545923471450806 1.524892807006836 1.5531831979751587 1.5363082885742188 1.5645968914031982 1.6653803586959839 1.5849775075912476 1.4600698947906494 1.5879460573196411 1.587701439857483 1.584681749343872 1.5577086210250854 1.5998896360397339 1.5521689653396606 1.5378007888793945 1.5568286180496216 1.5871998071670532 1.5691912174224854 1.6644206047058105 1.5767216682434082 1.6120808124542236 1.4309371709823608 1.6757456064224243 1.5542205572128296 1.5814296007156372 1.6114073991775513 1.7088680267333984 1.8220109939575195 1.3781744241714478 1.3885034322738647 1.472924828529358 1.5689620971679688 1.4288884401321411 1.5469169616699219 1.488678216934204 1.1900527477264404 1.5998477935791016 1.4123083353042603 1.556127905845642 1.4325556755065918 1.5908939838409424 1.3970873355865479 1.451504111289978 1.666572093963623 1.3651928901672363 1.5253634452819824 1.456195592880249 1.521304726600647 1.4845978021621704 1.3391555547714233 1.434281826019287 1.5357496738433838 1.326554536819458 1.591428518295288 1.5066567659378052 1.585242748260498 1.2814884185791016 1.559448003768921 1.5886890888214111 1.5211384296417236 1.5083630084991455 1.5666120052337646 1.4663023948669434 1.3524999618530273 1.5616055727005005 1.5101555585861206 1.5026085376739502 1.6439183950424194 1.4728198051452637 1.603193759918213 1.2390425205230713 1.2913875579833984 1.5588221549987793 1.5305182933807373 1.4227889776229858 1.5839476585388184 1.538453459739685 1.5049971342086792 1.67964768409729 1.4329521656036377 1.5163376331329346 1.301466703414917 1.678762674331665
8	1.4942	1.5176	1.6721	1.2292	1.4609293937683105 1.628337025642395 1.4999828338623047 1.672081708908081 1.5296045541763306 1.3771229982376099 1.6073180437088013 1.4887198209762573 1.5489085912704468 1.6425656080245972 1.2292083501815796 1.3193225860595703 1.6227076053619385 1.5175729990005493 1.2686233520507812
