local & idf & binary & wst & fstx & 500d & bmk_train & avg & cosine & 0.70008
local & tfidf & sublinear & wst & fstx & 500d & bmk_train & sum & cosine & 0.69969
local & tfidf & sublinear & wst & fstx & 500d & bmk_train & avg & cosine & 0.69969
local & tfidf & sublinear & wst & fstx & 1000d & bmk_train & sum & euclid & 0.69912
local & tfidf & freq & wst & fstx & 500d & bmk_train & sum & cosine & 0.69907
local & tfidf & freq & wst & fstx & 500d & bmk_train & avg & cosine & 0.69907
local & tfidf & sublinear & wst & fstx & 1000d & bmk_train & sum & manha & 0.69903
local & tfidf & freq & wst & fstx & 1000d & bmk_train & sum & euclid & 0.69862
local & tfidf & freq & wst & fstx & 1000d & bmk_train & sum & manha & 0.69851
local & tfidf & binary & wst & fstx & 1000d & bmk_train & sum & euclid & 0.69809
local & tfidf & binary & wst & fstx & 1000d & bmk_train & sum & manha & 0.69801
local & tfidf & binary & wst & w2v & 100d & bmk_train & sum & cosine & 0.69756
local & tfidf & binary & wst & w2v & 100d & bmk_train & avg & cosine & 0.69756
local & idf & sublinear & wst & w2v & 100d & bmk_train & sum & cosine & 0.69756
local & idf & sublinear & wst & w2v & 100d & bmk_train & avg & cosine & 0.69756
local & idf & freq & wst & w2v & 100d & bmk_train & sum & cosine & 0.69756
local & idf & freq & wst & w2v & 100d & bmk_train & avg & cosine & 0.69756
local & idf & binary & wst & w2v & 100d & bmk_train & sum & cosine & 0.69756
local & idf & binary & wst & w2v & 100d & bmk_train & avg & cosine & 0.69756
local & tfidf & sublinear & wst & fstx & 300d & bmk_train & sum & euclid & 0.69749
local & tfidf & sublinear & wst & w2v & 100d & bmk_train & sum & cosine & 0.69724
local & tfidf & sublinear & wst & w2v & 100d & bmk_train & avg & cosine & 0.69724
local & tfidf & freq & wst & fstx & 300d & bmk_train & sum & euclid & 0.69715
local & tfidf & sublinear & wst & fstx & 300d & bmk_train & sum & manha & 0.69690
local & tfidf & freq & wst & w2v & 100d & bmk_train & sum & cosine & 0.69677
local & tfidf & freq & wst & w2v & 100d & bmk_train & avg & cosine & 0.69677
local & tfidf & binary & wst & fstx & 300d & bmk_train & sum & euclid & 0.69662
local & tfidf & freq & wst & fstx & 300d & bmk_train & sum & manha & 0.69657
local & tfidf & binary & wst & fstx & 300d & bmk_train & sum & manha & 0.69600
local & tfidf & sublinear & wst & fstx & 200d & bmk_train & sum & manha & 0.69569
local & tfidf & sublinear & wst & fstx & 200d & bmk_train & sum & euclid & 0.69557
local & tfidf & freq & wst & fstx & 200d & bmk_train & sum & manha & 0.69542
local & tfidf & freq & wst & fstx & 200d & bmk_train & sum & euclid & 0.69529
local & tfidf & sublinear & wst & fstx & 100d & bmk_train & sum & cosine & 0.69492
local & tfidf & sublinear & wst & fstx & 100d & bmk_train & avg & cosine & 0.69492
local & tfidf & binary & wst & fstx & 200d & bmk_train & sum & manha & 0.69491
local & tfidf & binary & wst & fstx & 200d & bmk_train & sum & euclid & 0.69470
local & tfidf & binary & wst & fstx & 100d & bmk_train & sum & cosine & 0.69470
local & tfidf & binary & wst & fstx & 100d & bmk_train & avg & cosine & 0.69470
local & idf & sublinear & wst & fstx & 100d & bmk_train & sum & cosine & 0.69470
local & idf & sublinear & wst & fstx & 100d & bmk_train & avg & cosine & 0.69470
local & idf & freq & wst & fstx & 100d & bmk_train & sum & cosine & 0.69470
local & idf & freq & wst & fstx & 100d & bmk_train & avg & cosine & 0.69470
local & idf & binary & wst & fstx & 100d & bmk_train & sum & cosine & 0.69470
local & idf & binary & wst & fstx & 100d & bmk_train & avg & cosine & 0.69470
local & tfidf & freq & wst & fstx & 100d & bmk_train & sum & cosine & 0.69451
local & tfidf & freq & wst & fstx & 100d & bmk_train & avg & cosine & 0.69451
local & tfidf & sublinear & wst & w2v & 500d & bmk_train & sum & cosine & 0.69414
local & tfidf & sublinear & wst & w2v & 500d & bmk_train & avg & cosine & 0.69414
local & tfidf & binary & wst & w2v & 500d & bmk_train & sum & cosine & 0.69401
local & tfidf & binary & wst & w2v & 500d & bmk_train & avg & cosine & 0.69401
local & idf & sublinear & wst & w2v & 500d & bmk_train & sum & cosine & 0.69401
local & idf & sublinear & wst & w2v & 500d & bmk_train & avg & cosine & 0.69401
local & idf & freq & wst & w2v & 500d & bmk_train & sum & cosine & 0.69401
local & idf & freq & wst & w2v & 500d & bmk_train & avg & cosine & 0.69401
local & idf & binary & wst & w2v & 500d & bmk_train & sum & cosine & 0.69401
local & idf & binary & wst & w2v & 500d & bmk_train & avg & cosine & 0.69401
local & tfidf & freq & wst & w2v & 500d & bmk_train & sum & cosine & 0.69367
local & tfidf & freq & wst & w2v & 500d & bmk_train & avg & cosine & 0.69367
local & tfidf & sublinear & wst & glove & 200d & bmk_train & sum & manha & 0.69101
local & tfidf & sublinear & wst & glove & 300d & bmk_train & sum & euclid & 0.69079
local & tfidf & binary & wst & glove & 300d & bmk_train & sum & euclid & 0.69043
local & tfidf & binary & wst & glove & 300d & bmk_train & sum & cosine & 0.69041
local & tfidf & binary & wst & glove & 300d & bmk_train & avg & cosine & 0.69041
local & idf & sublinear & wst & glove & 300d & bmk_train & sum & cosine & 0.69041
local & idf & sublinear & wst & glove & 300d & bmk_train & avg & cosine & 0.69041
local & idf & freq & wst & glove & 300d & bmk_train & sum & cosine & 0.69041
local & idf & freq & wst & glove & 300d & bmk_train & avg & cosine & 0.69041
local & idf & binary & wst & glove & 300d & bmk_train & sum & cosine & 0.69041
local & idf & binary & wst & glove & 300d & bmk_train & avg & cosine & 0.69041
local & tfidf & freq & wst & glove & 200d & bmk_train & sum & manha & 0.69040
local & tfidf & binary & wst & glove & 200d & bmk_train & sum & manha & 0.69035
local & tfidf & freq & wst & glove & 300d & bmk_train & sum & euclid & 0.69028
local & tfidf & sublinear & wst & glove & 300d & bmk_train & sum & cosine & 0.68978
local & tfidf & sublinear & wst & glove & 300d & bmk_train & avg & cosine & 0.68978
local & tfidf & freq & wst & glove & 300d & bmk_train & sum & cosine & 0.68919
local & tfidf & freq & wst & glove & 300d & bmk_train & avg & cosine & 0.68919
local & tfidf & sublinear & wst & w2v & 200d & bmk_train & sum & euclid & 0.68675
local & tfidf & freq & wst & w2v & 200d & bmk_train & sum & euclid & 0.68639
local & tfidf & binary & wst & w2v & 200d & bmk_train & sum & euclid & 0.68604
local & tfidf & sublinear & wst & w2v & 200d & bmk_train & sum & manha & 0.68600
local & tfidf & freq & wst & w2v & 200d & bmk_train & sum & manha & 0.68561
local & tfidf & binary & wst & w2v & 200d & bmk_train & sum & manha & 0.68540
local & tfidf & sublinear & wst & fstx & 500d & bmk_train & sum & manha & 0.68368
local & tfidf & sublinear & wst & fstx & 500d & bmk_train & sum & euclid & 0.68328
local & tfidf & binary & wst & fstx & 500d & bmk_train & sum & manha & 0.68323
local & tfidf & freq & wst & fstx & 500d & bmk_train & sum & manha & 0.68305
local & tfidf & binary & wst & fstx & 500d & bmk_train & sum & euclid & 0.68288
local & tfidf & freq & wst & fstx & 500d & bmk_train & sum & euclid & 0.68269
local & tfidf & sublinear & wst & w2v & 300d & bmk_train & sum & cosine & 0.68172
local & tfidf & sublinear & wst & w2v & 300d & bmk_train & avg & cosine & 0.68172
local & tfidf & binary & wst & w2v & 300d & bmk_train & sum & cosine & 0.68150
local & tfidf & binary & wst & w2v & 300d & bmk_train & avg & cosine & 0.68150
local & idf & sublinear & wst & w2v & 300d & bmk_train & sum & cosine & 0.68150
local & idf & sublinear & wst & w2v & 300d & bmk_train & avg & cosine & 0.68150
local & idf & freq & wst & w2v & 300d & bmk_train & sum & cosine & 0.68150
local & idf & freq & wst & w2v & 300d & bmk_train & avg & cosine & 0.68150
local & idf & binary & wst & w2v & 300d & bmk_train & sum & cosine & 0.68150
local & idf & binary & wst & w2v & 300d & bmk_train & avg & cosine & 0.68150
local & tfidf & freq & wst & w2v & 300d & bmk_train & sum & cosine & 0.68128
local & tfidf & freq & wst & w2v & 300d & bmk_train & avg & cosine & 0.68128
local & tfidf & sublinear & wst & glove & 200d & bmk_train & sum & euclid & 0.67965
local & tfidf & binary & wst & glove & 200d & bmk_train & sum & euclid & 0.67932
local & tfidf & binary & wst & w2v & 50d & bmk_train & sum & cosine & 0.67922
local & tfidf & binary & wst & w2v & 50d & bmk_train & avg & cosine & 0.67922
local & idf & sublinear & wst & w2v & 50d & bmk_train & sum & cosine & 0.67922
local & idf & sublinear & wst & w2v & 50d & bmk_train & avg & cosine & 0.67922
local & idf & freq & wst & w2v & 50d & bmk_train & sum & cosine & 0.67922
local & idf & freq & wst & w2v & 50d & bmk_train & avg & cosine & 0.67922
local & idf & binary & wst & w2v & 50d & bmk_train & sum & cosine & 0.67922
